haplotype,p0,p1,p5,p50,p95,p99,p100
HLA-B46:01,14854.69,14960.638,15384.43,21391.655,23276.370499999997,23592.6341,23671.7
HLA-B48:01,13551.53,14088.898400000002,16238.372,26369.135000000002,30643.620499999994,32299.3001,32713.22
HLA-B51:01,5673.22,5680.1752,5707.996,5823.995000000001,5910.0560000000005,5917.4432,5919.29
HLA-B53:01,857.91,1532.6616000000006,4231.668,23872.260000000002,40091.48049999999,42940.1281,43652.29
HLA-B54:01,5616.27,5617.2816,5621.328,5721.395,5789.665499999999,5800.685099999999,5803.44
HLA-B57:01,5564.55,5593.475100000001,5709.1755,6002.145,6083.758,6105.127600000001,6110.47
HLA-B57:03,3276.28,5106.510100000001,12427.430499999999,31738.67,35830.357,35890.2394,35905.21
HLA-B58:01,1594.46,1800.5996000000002,2625.158,30626.18,37528.838,37560.0716,37567.88
HLA-B58:02,6555.56,7436.053400000001,10958.027,33464.075,37044.739499999996,37607.1639,37747.77
HLA-B62:01,7137.94,8060.2528,11749.504,30669.385000000002,37695.102,37804.9884,37832.46
HLA-B73:01,1460.64,1516.3671000000002,1739.2755,3594.67,15651.326499999992,18184.8013,18818.17
HLA-B81:01,9904.89,10173.499499999998,11247.9375,22088.004999999997,30433.705499999996,31308.005100000002,31526.58
HLA-B83:01,1399.99,1462.1026,1710.5529999999999,3248.09,6000.366999999998,6486.1294,6607.57
HLA-BF02:0401,1299.71,1311.536,1358.8400000000001,11644.67,17732.431999999993,19385.206400000003,19798.4
HLA-BF02:2101,3478.55,5292.404600000002,12547.823,31979.39,35973.6495,36040.209899999994,36056.85
HLA-C03:03,613.15,855.1249000000001,1823.0245,13138.075,31035.619,31917.395800000002,32137.84
HLA-C03:04,770.44,910.7500000000002,1471.9899999999998,31090.03,42863.28599999999,45398.593199999996,46032.42
HLA-C04:01,4831.94,5051.3033000000005,5928.7564999999995,9166.810000000001,10604.024999999998,11193.021,11340.27
HLA-C05:01,1421.66,1709.2361000000003,2859.5404999999996,19868.605000000003,26694.199499999995,27970.287900000003,28289.31
HLA-C06:02,10.91,19.108100000000007,51.9005,28841.010000000002,35598.90299999999,36117.03660000001,36246.57
HLA-C07:01,12295.06,13423.990300000001,17939.711499999998,32089.895,38154.299499999994,38993.6359,39203.47
HLA-C07:02,21.52,21.7297,22.5685,322.42999999999995,6969.935999999995,8612.0112,9022.53
HLA-C08:01,9956.21,10085.0648,10600.484,30592.6,40832.73649999999,42996.635299999994,43537.61
HLA-C08:02,52.32,53.4594,58.017,1645.13,12293.138999999996,14187.3078,14660.85
HLA-C12:03,286.83,287.8776,292.068,1189.16,9679.9729999999945,10935.0986,11248.88
HLA-C14:02,16.93,25.907500000000006,61.8175,3676,13593.885499999997,15230.8811,15640.13
HLA-C15:02,5587.48,6161.970700000001,8459.9335,15783.619999999999,23772.932499999995,24461.6665,24633.85
HLA-E01:03,9955.43,10026.7568,10312.064,22932.445,36728.136,37298.9232,37441.62
HLA-RT01:01,1825.3,2221.9003000000002,3808.3014999999996,21183.075,28094.06899999999,30411.9578,30991.43
Mamu-A01:01,7727.5,7914.8836,8664.418,18665.425,36148.066499999986,39405.285299999996,40219.59
Mamu-A01:02,398.88,890.4231000000004,2856.5955,11016.29,19810.375,20106.331,20180.32
Mamu-A01:11,337.38,485.3130000000001,1077.0449999999998,11181.47,31636.02499999998,37508.452999999994,38976.56
Mamu-A02:0102,1006.24,1078.0393000000001,1365.2365,3055.9700000000003,5216.758499999998,5748.215700000001,5881.08
Mamu-A02:01,925.03,1326.6379000000002,2933.0695,23762.345,32800.16799999999,36072.84160000001,36891.01
Mamu-A07:0103,1592.16,1765.4118,2458.419,22493.58,33221.02649999999,35988.285299999996,36680.1
Mamu-A07:01,26365.34,26858.298800000004,28830.134,36551.835,43538.1365,44631.611300000004,44904.98
Mamu-A11:01,553.88,818.1560000000002,1875.26,26565.989999999998,36421.12499999999,37898.745,38268.15
Mamu-A22:01,3304.32,4671.079800000001,10138.119,34566.97,42067.643,42667.4966,42817.46
Mamu-A26:01,2869.06,3719.1487000000006,7119.5035,41408.875,44957.256499999996,45124.6673,45166.52
Mamu-B01:01,15086.33,16442.2304,21865.832,45089.535,46377.857,46426.3634,46438.49
Mamu-B03:01,4512.2,5704.319300000001,10472.7965,34044.095,39725.990999999995,40325.830200000004,40475.79
Mamu-B08:01,3577.5,5069.0241000000015,11035.120499999999,37903.020000000004,41574.943499999994,42005.0607,42112.59
Mamu-B10:01,3014.67,3433.5516000000002,5109.0779999999995,21858.52,33629.03349999999,35835.8947,36387.61
Mamu-B17:01,6226.95,6293.8182,6561.291,19523.8,38718.1535,38865.3107,38902.1
Mamu-B17:04,5135.73,5369.9064,6306.611999999999,17597.825,33702.669499999996,34278.1979,34422.08
Mamu-B39:01,3607.63,3781.5415000000003,4477.1875,17428.46,26451.693499999998,26465.218699999998,26468.6
Mamu-B52:01,188.27,347.73290000000014,985.5844999999998,5585.985,19367.97349999999,23026.9307,23941.67
Mamu-B66:01,31.49,32.381,35.945,68.81,1633.7599999999998,1720.16,1741.76
Mamu-B83:01,2293.21,2593.5202,3794.7609999999995,28651.339999999997,39640.909,40589.5738,40826.74
Mamu-B87:01,733.05,807.2442000000001,1104.021,16500.905,25653.001999999997,26202.808399999998,26340.26
Patr-A01:01,15465.2,16667.375000000004,21476.074999999997,32368.535,40812.40599999999,43460.5372,44122.57
Patr-A03:01,6713.31,6777.0318,7031.919,10875.779999999999,16052.078999999994,17136.8958,17408.1
Patr-A04:01,3379.93,3563.3725,4297.1425,17948.865,38095.93349999999,41716.5867,42621.75
Patr-A06:02,824.17,1088.7871000000002,2147.2555,28616.87,39073.2445,39099.0169,39105.46
Patr-A07:01,3120.01,3547.9789000000005,5259.8544999999995,33015.905,41158.7525,42507.438500000004,42844.61
Patr-A09:01,1591.46,1618.7903000000001,1728.1115,17515.155,32220.576,32600.3472,32695.29
